primary_question,answer
材料进场报验撤销的方法,"1.材料非首批次进场且没有任何验收，材料员在材料报验详情页面可以撤回，右上角有撤回按钮；
2.首次进场材料或者有过验收记录的材料无法撤回，需要验收人验收材料不合格进行退场处理。"
为什监理确认材料不需要退场后状态还显示退场中？,监理确认材料不需退场之后需要由甲方人员进行最终确认，甲方确认之后状态才会改变。
为什么材料在验收进行中没有显示监测结果不合格，但已经进入了退场状态?,监理确认不退场的材料尚未完成最终检验，可能是合格的也可能是不合格的；现在系统都支持各种情况，所以系统不会显示不合格或者退场。
材料验收合格但是显示退场,"1、核查下关键信息是否填错；
2、核查下进场时材料品牌是否选错。"
文档管理打不开的处理方法,"1、尝试重新登录；
2、重新登录不成功，清理浏览器缓存后再次尝试。"
登录龙建进入文档管理显示无权限的解决方法,用户没有进入文档管理的权限，请联系地区公司管理人员添加相关权限。
龙建无法导出文件的解决方法,"1、使用搜索条件精确搜中某些问题；
2、点击导出的格式进行导出；
3、点击任务记录进行查看。"
内业账号打开文档报错的解决方法,"1、核查内业人员账号是否配置了“内业”角色；
2、清理浏览器缓存后重试；
3、核查浏览器是否拦截插件；
4、账号使用正常电脑打开文档核查是否可以成功。"
文档管理无法新建子文件夹的原因,"1、确认自己的账号是否为项目内业角色，此功能只开放给项目内业；
2、系统只允许在标准末级下新建文件夹，请确认要新建文件夹的位置是否符合要求(系统自建的组团/标段文件夹也是标准文件夹)；
3、此操作前提是要点击新建文件夹的目标文件夹，确认是否有此操作。"
文档管理无法删除文件夹的原因,"1、确认自己的账号是否为项目内业角色，此功能只开放给项目内业；
2、系统只允许删除自建文件夹，不允许删除标准目录，请确认要删除的文件夹是否符合要求；
3、系统只允许删除末级文件夹，请确认要删除的文件夹是否符合要求。"
文档管理账号无法看不到某个分期如何处理,"1、请仔细查看分期列表，不要遗漏""完结分期"" 类别；
2、确认标段是否正确挂载了此分期；
3、确认账号是否在挂载了此分期的标段下正确赋予了角色。"
文档管理账号缺失某个文件夹的上传权限的解决方法,"1、与龙建管理员确认，角色是否正常；
2、查看标准目录及权限说明文档，确认账号角色是否有此文件夹的权限。"
文档管理文件无法重命名的原因,"1、确认自己的账号是否为项目内业角色，此功能只开放给项目内业；
2、文件名称不允许与当前文件夹下的其余文件重名，并且不允许包含非法字符及空格。"
文档管理无法使用删除标准文件夹功能的原因,"1、确认自己的账号是否为项目内业角色，此功能只开放给项目内业；
2、确认要使用删除功能的分期是否为新架构住宅分期(迁移完成/全新推送分期)；
3、如果存在迁移目录按钮，请先迁移完成，再执行删除；
4、此功能要求目标文件夹下不含有子文件夹及文件，否则不可发起审批。"
"文档管理已经提交标准目录删除申请 , 文件夹仍未删除的原因","1、删除标准文件夹的完整流程为：提交审批-职能内业及公司管理员会签-集团管理员审批，需要流程走完才会执行删除，请核查流程是否完成；
2、审批被驳回自然不会删除文件夹；
3、项目内业可以在删除目录按钮中找到审批历史列表，可以查看审批所在的流程位置。"
文档管理没有出现预警就已经出现逾期的原因,预警和逾期的判定使用的是不同时间，预警为计划完成时间，即在智计划看到的时间；逾期为实际完成时间，是节点反馈时间；所以预警和逾期的出现并不具有关联性，需要就各个节点的完成情况来具体判定。
"文档管理上传文件之后 , 逾期并未消失的原因",需要确认是逾期待办还是逾期列表，待办在上传文件之后就会消失，列表会一直保留记录。
文档管理预警逾期数量和列表数目对不上如何处理,"1、此数目为预警及逾期数目之和，不要只看预警；
2、预警逾期数量使用了缓存，所以不会在操作之后马上改变 , 隔天查看即会改变。"
文档管理预览时出现移到登录界面如何处理,系统不允许同时多个浏览器进行预览，出现此页面代表着您的账号在另外一个浏览器中登录，重新登录文档管理即可。
文档预警自动消失的原因,"1、文件已被上传（自己或者其他人员），不需要预警；
2、已超出节点预计完成时间，系统不再发送预警，可能会发送逾期警报。"
分供方上传的文件，文件状态为什么是“未发起审批”,"1、分供方上传的文件是需要项目内业进行审批才可以进行归档；
2、在项目管理右上角有发起审批的按钮。"
外包内业看不见监理资料员传的龙建文档的原因,需要监理资料员发起审批，审批之后外包内业就能看到了。
文档管理双月检任务看不到10.4以后文件夹中上传的文件的原因,10 文件夹 10.4以后文件夹不计入检查范围。
项目上除了内业其他专业工程师龙建的文档看不到任何文件的原因,用户角色权限不足，如果该用户需要查看文档，请联系项目管理员添加权限。
为什么内业工程师无权限进入文档管理模块？,请核查创建标段是否挂接分期，为挂接分期的标段内页工程师是无权限的。
查看2+X检查模块结果的人员角色,目前只有项目级的项目经理_土建总包、技术负责人_土建总包、项目经理_户内精装可以查看，7月中旬可以自己配置查看权限。
项目上材料员无法进行进场报验,材料员所在分供方单位项目没有进行初始化。
材料员角色登录龙建APP后无法提交封样,新增加的项目角色没有开通权限。
龙建PC的登录的网址是什么？,请登录https://longjian.longhu.net/login#/
添加人员到项目时，项目角色没有防火窗怎么办,"1、可以分别添加，添加2个角色（项目经理_防火门和项目经理_门窗）；
2、该角色暂时没有权限，如需该角色封样，请添加相应的材料员角色。"
龙建网页端页面打不开，一直显示错误的处理方法,"1、请确认网址输入是否有误：https://longjian.longhu.net/login#/
2、确认是否设置了网址拦截。"
"新建标段时，该怎么选择""总包""或者""监理""角色","龙建的合作伙伴已经和【供方门户】-【寻源】系统拉通，合作伙伴已覆盖集团全部在用供方，新建标段的""总包/监理""角色可以通过关键字模糊搜索，下拉选择。"
选择合作伙伴时，没有搜出来需要的供方的解决方法,"请按如下步骤进行操作：
1、龙建的合作伙伴已经和【供方门户-寻源】系统拉通，合作伙伴已覆盖集团全部在用供方；
2、先检查供方名字或者关键字是否输入有误；
3、如果名字没有问题，请联系管理员在龙湖【供方门户-寻源】新增供方，2分钟后再次搜索添加。"
新建标段时如果一个供方选了土建总包或者总包的角色，那么这个供方还可以选择监理的角色吗？,不可以，同一个标段，同一个供方只能是总包或者监理，但是可以既是总包又是分包。
新建标段时总包/监理选择错误，如何修改,请登录【龙建PC端】-【进入该标段】-【基础资料】-【合作伙伴】，查找到该单位，并删除，然后使用【新增合作伙伴】增加正确的供方。
同一个标段下是否可以创建多个总包/监理,不可以，同一个标段下只能有一个土建总包或者监理，其他分包单位一个单位可以承担多个角色，如A单位既可以是门窗分包，又可以是防水分包。
标段下新增合作伙伴如何操作,"登录【龙建PC】-【该标段】-【基础资料】-【合作伙伴】，点击【新增】，通过模糊搜索供方，下拉选择。
1、龙建的合作伙伴已经和【供方门户】-【寻源】系统拉通，合作伙伴已覆盖集团全部在用供方；
2、如果查找不到需要的单位名称，请先检查供方名字或者关键字是否输入有误；
3、如果名字没有问题，请联系管理员在龙湖【供方门户】-【寻源】新增供方，2分钟后再次搜索添加。"
标段增加合作伙伴发现没有合同的解决方法,"龙建系统已经和公司成本系统拉通，如果没有查找到该单位的合同，请按以下步骤核查：
1、请确认该单位是否完成合同的签订，并已经录入成本系统；
2、请确认本标段挂接的分期是否正确；
3、请确认该单位名称和合同或者该单位的营业执照是否一致。"
集团下新增合作伙伴的方法,"登录【龙建PC】-【集团级】-【合作伙伴】，点击【新增】，通过模糊搜索供方，下拉选择。
1、龙建的合作伙伴已经和【供方门户】-【寻源】系统拉通，合作伙伴已覆盖集团全部在用供方；
2、如果查找不到需要的单位名称，请先检查供方名字或者关键字是否输入有误；
3、如果名字没有问题，请联系管理员在龙湖【供方门户】-【寻源】新增供方，2分钟后再次搜索添加。"
新增供方用户的方法,请联系项目管理员通过人员管理新增人员-添加新用户或者邀请用户操作，管理员操作时请先尝试【邀请用户】，如果确认系统没有改用户，请再使用【新增人员】注册，邀请或注册后请按实际情况分配角色。
在邀请用户界面操作的方法,在【集团级或者公司级人员管理】-【新增用户】-【邀请用户】，在搜索框处按用户名或者真实姓名模糊搜索，选择需要邀请的人员，配置相应的角色，完成邀请。
为什么用户没有编辑按钮,请确认该用户时供方人员还是龙湖内部人员，编辑按钮只对供方人员开放，内部人员信息请通过HR系统修改。
用户登陆的方法,龙湖员工可以通过OA账号或者OA手机号+密码登录，其他人员可以通过登记的手机号码+密码登录，注意首次登录后需要对手机号发送验证码进行验证后才可以登录。
龙建无法登陆,"请按如下步骤进行操作：
1、先尝试用手机号登录；
2、联系龙建管理员进行密码重置；
3、联系龙建管理员在公司级人员管理查找该用户账号状态是否正常，手机号是否正确，按提示修改用户状态或手机号；
4、集团统计采集用户信息时没有登记正确的信息的用户请联系管理员在人员管理界面的【编辑】功能登记用户手机号等信息，完成清洗后使用手机号登录。"
龙建原有账号没有登记到集团下发的人员信息采集表，无法登录怎么办,请联系龙建管理员，管理员登录龙建PC-公司级人员管理-查找该用户，点击【编辑】补充该用户手机号、单位信息完成用户信息登记。
龙湖内部人员使用OA登录龙建提示：该账号无权限，请联系管理员,龙湖内部人员需要使用邀请用户方式邀请进入龙建系统并配置相应角色后才可使用OA账号登录，如未经邀请，则无法登录。
龙建添加分供方是否必须要关联合同，大多数分供方合同未签定合同就已经开始施工，请问如何设置？,关联合同不是必填项，可以先创建合作伙伴，后续签了合同，在通过编辑进行关联。
基坑监测初始化发起审批后，出现存在待审批角色未配置人员情况,"1、先在审批详情中核对那个角色没有配置人员；
2、联系地区公司龙建管理员或项目管理员给该角色配置人员，配置完成后就可以正常审批。"
项目基坑监测数据填报任务还没生成，为什么系统推送了短信,如果当天完成初始化任务审批并开始监测任务，第二天就不会再收到此短信。
基坑监测流水段的停止方法,请参考：【协同文档】《基坑停止、暂停操作手册》https://idoc.longfor.com/word/wwJvWX0x3T83sBRwj454lkgtlGAp
收到基坑预警短信，未按方案进行监测数据反馈的原因,"两种情况会发送未按方案进行监测数据反馈短信
1、流水段应开始监测未开始监测。 （创建流水段时设置的计划开始监测时间早于了当前时间）
2、流水段开始监测后推送了数据填报任务，未按时填报数据。"
龙建初始化时监测频率填写有误，后续更改监测频率操作的方法,龙建pc端 【安全管理】-【基坑监测】-【监测属性设置】重新填写监测属性值和监测频率后提交审批，审批通过后生效。
基坑监测录入数据时点位触发了预警怎么单独调整报警阈值,"在【基坑监测】-【应急反馈】 点击审批菜单，找个这个点位，发起审批填入调整后的值提交审批，通过后就可以了。
 "
基坑监测推送了填报数据任务，手机上没办法拍照,基坑监测拍照是由 监测单位项目经理进行拍摄，请核对用户是否有 【基坑监测_项目经理】角色。
点击开始监测后没有收到数据填报任务,"监测数据填报任务每天推送两次，分别是8：00和12：00
如果是8：00前点击开始监测，会在8：00后收到任务
如果是8：00后12：00之前点击开始监测，会在12：00后收到任务
如果是12：00点击开始监测，会在第二天8：00后收到任务"
重大技术方案论证成果上报上传按钮置灰无法上传,"论证成果上报需要项目工程经理-甲方项目角色上传，请确认您是否有该角色，如果没有可以联系项目管理员添加或者联系项目工程经理上传文件。
 "
重大技术方案评审规划那个角色可以发起审批,"技术负责人_甲方项目，专业工程师_甲方项目，有这两个角色的用户可以发起审批，如果没有可以联系项目管理员添加或者联系相关用户处理。
 "
重大技术方案专家论证会时间的修改方法,（集团地基总监，集团安全总监，集团机电总监，集团结构总监，地区地产工程管理中心负责人）可在公司级别-【技术管理】-【方案汇总】点击专家论证会时间旁边编辑按钮重新选择时间。
重大技术方案评审规划和论证成果发起审批后撤回的方法,"在【我的工作台】-【待办审批】-【我发起的】点击审批详情进入，切换到审批信息在右下角可看到撤回按钮。
 "
智计划停工后，进度日报是否还能报验进度,"1、如果进度日报没有初始化，智计划停工后是无法初始化报验的，因为初始化的时候拿不到分期数据了；
2、如果进度日报已经初始化了，可以正常反馈，但是不能重新初始化增减工序和空间。"
进度日报初始化时总平或者地库列表是空的，没有数据,联系项目管理员在龙建pc端【基础资料】-【楼栋管理】地库的地下层和总平的子区域（比如土方回填）创建公区。&nbsp;备注：如果没有总平，点击标段右侧的新增按钮可以新增。&nbsp;
进度日报混凝土标号填写错误如何处理,"1、在进度日报找到错误的位置，在格子上点击右键进入详情后更改。
2、进度日报更改保存后第二天会重新生成新的混凝土任务，测量的数据需要在新的任务中填报。
备注：编号错误的混凝土任务需要报备后删除"
进度日报填报时找不到商砼站,联系地区砼管理专员在公司级别下【质量管理】-【砼管理】-【商砼站管理】菜单下新增。
进度日报删除已经挂接的工序任务,跟智计划相关工序如已有报验进度无法删除，需要报备后后台处理。报备流程：在云图梭拉群，拉项目负责人，工程片负，运营片负，龙建业务（许忠源）在群内确认，确认后业务同事拉通删除。&nbsp;无报验进度操作如下所示：&nbsp;1、联系甲方工程师在龙建PC端【进度管理】-【进度日报】菜单，点击日报右侧初始化按钮进入日报。&nbsp;&nbsp;2、点击需要删除区域删除按钮，删除工序。&nbsp;&nbsp;3、删除后点击生成日报，在生成日报页面查看工序并提交即可。
楼栋迁移组团后，进度日报如何处理?,龙建进度日报空间数据是由上游系统下发，上游系统楼栋调整组团并下发调整后的数据，进度日报会自动调整，不需要单独操作。
移交精装节点已报验完成，智计划未完成。,"1、智计划室内清水作业移交节点是通过龙建进度日报报验精装移交工序完成。
2、首批次室内清水作业移交节点需要报验到总进度的25%才会完成。"
手机上看不到物业查验任务,1、首先添加龙建相关权限甲方和合作方用户（在权限自助门户申请&nbsp;项目下物业组&nbsp;分户查验工程师、承接查验工程师或者物业前介工程师）如用户是第一次申请龙建相关权限，权限申请后需要登录龙建才会生效；如果是供方用户联系有&nbsp;地区-运营工程-工程-员工&nbsp;角色用户登录龙建PC端切换到公司级别，在【基础资料】-【人员管理】-【公司人员管理】菜单点击【添加供方人员】添加用户和角色。具体可以参考：https://idoc.longfor.com/word/witTZnS3psopMFrmflJXLYYmHgaj2、联系该任务的任务负责人在pc端进行如下操作：项目级别下【质量管理】-【物业查验】-【任务管理】菜单下找到对应任务，编辑任务将用户添加到任务负责人或者检查人组即可。&nbsp;
物业查验任务删除的方法,"您好，操作方法如下：
1、任务负责人 登录龙建pc端（https://longjian.longhu.net/）切换到项目级别；
2、选中【质量管理】-【物业查验】-【任务管理】菜单；
3、选中要删除的任务，点击右上角批量操作，选中下拉列表中的完成任务，然后再删除任务。"
【物业查验】-【问题管理】为什么部分问题会没有转交和指派权限,问题录入人有问题指派的权限，问题整改人有转交的权限，如果没有权限需要核对当前用户是不是问题录入人或者整改人。
物业查验问题录入错了怎么删除,联系问题录入人在龙建pc端项目级别【质量管理】-【物业查验】-【问题管理】菜单下删除。
新增物业查验问题时，所属任务列表为空，没办法录入问题,"1、确认该项目是否有物业查验任务，如果没有先创建任务。
2、如果已有任务需要核实是否是该任务的检查人或者负责人，如果不是需要拉通任务负责人添加。"
砼管理-混凝土回弹、钻芯任务、待办删除,需要在云图梭拉群报备确认，拉群需拉项目工程经理，工管中心负责人和片负，结构总监潘宁（panning01），集团业务牛硕（niushuo）确认后，由后台删除旧任务。
进度日报标号填写错误，导致推送回弹任务里面标号错误如何处理,1、重新在进度日报中反馈正确的标号，填报后第二天会重新推送新任务。2、在云图梭拉群报备确认，拉群需拉项目工程经理，工管中心负责人和片负，结构总监潘宁（panning01），集团业务牛硕（niushuo）在群内确认，确认后后台删除旧任务。
材料管理-集采品牌添加,"1、如果是龙建材料库外的材料，地区公司若想添加，采用备案制—地区项目报地区龙建管理员，地区公司中心负责人以上确认，地区龙建管理员将确认信息截图发给集团李斌总留痕后，再报集团牛硕添加品类；
2、如果是属于集团集采管控的材料，如防水、电缆等，项目因种种原因使用非集采材料，需地区龙建管理员拉通集团工程同事 土建李斌（libin3），安装李成（licheng3），精装崔光磊（cuiguanglei），进行确认后上报集团牛硕（niushuo）添加。"
如何添加材料员,1、给用户添加材料员相关角色，比如 材料员_土建总包。地区下项目参考：https://idoc.longfor.com/word/witTZnS3psopMFrmflJXLYYmHgaj事业部下项目参考：https://idoc.longfor.com/word/wSrHbgZ0XeMuh84Vyag8KtC4cChq&nbsp;2、在pc端【基础资料】-【项目合作伙伴】菜单中添加对应的供方单位。&nbsp;3、在pc端【基础资料】-【项目合作伙伴人员】菜单中将用户添加到对应的供方单位中，单位角色需要选择材料员。
材料报验时选择不了对应监理,"原因是没有给用户设置监理角色导致
1、给用户添加监理相关角色，比如 监理_总监。
添加角色参考：https://idoc.longfor.com/word/witTZnS3psopMFrmflJXLYYmHgaj
2、在pc端项目级别【基础资料】-【项目合作伙伴】菜单中添加对应的监理单位。
3、在pc端项目级别【基础资料】-【项目合作伙伴人员】菜单中将用户添加到对应的监理单位中，单位角色需要选择监理。"
龙建材料管理提交封样后，审批人离职如何处理,建议换个型号重新提交封样，跟之前型号名称不完全一致即可。
龙建APP/pc端看不到项目或者进入龙建系统后提示无权限,"1、如果项目属于非C1航道，龙建APP暂不支持，工程龙建APP无法查看项目，需要在 【商业】分类下【C2承接查验】APP中查看；
2、如果是C1航道的项目或者pc端查看，需要核对用户是否有该项目权限，如果没有请先添加项目权限。（甲方用户在权限自助门户自助申请；供方用户联系甲方工程师在龙建系统添加，有地区/事业部-工程-员工角色工程师有权限）；
3、如果以上都排查仍无法访问项目，请联系我们并提供项目名称和用户账号。"
如何申请龙建权限（创建龙建账号）,"地区下项目参考：https://idoc.longfor.com/word/witTZnS3psopMFrmflJXLYYmHgaj
事业部下项目参考：https://idoc.longfor.com/word/wSrHbgZ0XeMuh84Vyag8KtC4cChq"
材设初始化中选择合同单位的那一栏里面，没有初始化材料的单位,在【基础资料】-【项目合作伙伴】菜单里面添加。
两个标段两个个总包一个地库，如何将地库分配到两个标段,暂时不支持创建多个地库，也不支持把一个地库放在两个标段的，可以把两个总包都添加到同一个标段，每个总包负责不同公区任务。
防渗漏台账如何导出,在龙建PC端【质量管理】-【砼管理台账】菜单下，点击页面上导出台账按钮即可下载数据。
TJFWQXDD(珑珠优选-自提),好的，再跟您确认一下是换【XXX】商品吗，您下单的手机号是否可以联系到您呢？后续会有工作人员尽快联系您协助解决问题的，请您放心~
TJFWQXDD(珑珠优选-自提),好的，再跟您确认一下是退【XXX】商品吗，您下单的手机号是否可以联系到您呢？后续会有工作人员尽快联系您协助解决问题的，请您放心~
TJFWQXDD(珑珠优选-自提),看到您购买的商品是不支持七天无理由退货的，因此无法为您申请退货，感谢您的理解
TJFWQXDD(珑珠优选-自提),非常抱歉，给您带来不好的购物体验了，辛苦您提供一下商品的照片，我马上为您反馈，后续会有工作人员尽快联系您协助解决问题的，请您放心~
TJFWQXDD(珑珠优选-自提),好的，您如果确定取消这笔订单的话，您可以在订单详情页面点击提交退款申请
珑珠券C2,redir{lxhdh://targetIntent?intentId=75090}
珑珠券C2,redir{lxhdh://targetIntent?intentId=72467}
珑珠券C2,redir{lxhdh://targetIntent?intentId=75089}
珑珠券C2,好的，请问您的卡券订单号是【xxx】，手机尾号是【${/7}】吗？我马上为您反馈，后续会有工作人员尽快联系您协助解决问题的，请您放心~
珑珠券C2,您这笔订单使用了珑珠券，是无法部分退款的呢~
珑珠券C2,查看到该卡券还未过期，您退单后，卡券会自动退回，您可以等退回后再次使用珑珠券，如果您不想使用了可以在我的订单处退券~
珑珠券C2,查看到您这个卡券是已过期状态，退单后您秒杀的珑珠券就无法使用了，我这里为您申请您抢券时花费的等额珑珠，您看可以吗？
无法领取珑珠券,感谢您的理解，祝您生活愉快~
无法领取珑珠券,让您有不好的体验了，请问手机号【${/5}】可以联系您吗，马上为您升级处理。
无法领取珑珠券,您好，由于您短期内在不同天街参与了本次活动，参与热情度较高，因此，建议您改日再次尝试，带来的不便，请您谅解！
无法领取珑珠券,您好，因您属于龙湖集团商业航道天街/星悦荟的内部员工，因此无法参与本次活动，带来的不便，请您谅解！
无法领取珑珠券,您好，因为本次活动同时参与的人数过多，服务器承载能力有限，建议您间隔一段时间后再次尝试，带来的不便，请您谅解！
无法领取珑珠券,您好，由于您在本次活动期间，出现了异常退换货，因此暂时无法参与活动，请问您现在是否需要处理异常，如需处理，请您提供消费记录，我帮您跟进处理。
无法领取珑珠券,您好，是因为您当天通过参与活动能够获得的珑珠已经超过了个人一天内所能获得的上限，欢迎您明天再参与活动。
无法领取珑珠券,您好，因为本次活动同时参与的人数过多，服务器承载能力有限，建议您明日再次尝试，带来的不便，请您谅解！
无法领取珑珠券,您好，请您协助提供（1.X天街X日X档活动、2.客户龙民ID、3.手机号码、4.问题提示界面及文字描述；），以便我们能够快速定位问题，给您带来的不便，请您谅解，感谢您的理解与配合！
用不了珑珠券,感谢您的理解，祝您生活愉快~
用不了珑珠券,好的，请问您的卡券订单号是【xxx】，手机尾号是【${/8}】吗？我马上为您反馈，后续会有工作人员尽快联系您协助解决问题的，请您放心~
用不了珑珠券,"1、不同类型券不支持叠加使用：
只有同类型的券能叠加使用，例如满减券只能和满减券一起用，满减券不能和代金券一起用呦~
2、同类型券叠加规则：
叠加使用卡券时，消费总额需要同时达到这几张卡券使用门槛的总和，比如100-30的满减珑珠券，如果想同时使用2张的话，消费总额需要满200元。"
用不了珑珠券,该店铺没有参加这个活动哟，您可以在卡券详情页查看哪些店铺可以使用～感谢您的谅解~
用不了珑珠券,查询到该卡券已经过期，无法使用了呢~
用不了珑珠券,这个卡券还未到使用时间哟，【xxx】时间后就可以使用了~
用不了珑珠券,为您查询到该店铺不支持使用珑珠券。跟您分享一个小窍门，支持花珑珠的店铺都可以使用珑珠券，您可以在店铺门口的告示或在小程序下方品牌进行搜索。
用不了珑珠券,只有龙湖收银机能识别珑珠券，非龙湖POS机和现金支付无法使用珑珠券呢。您可以要求商铺为您使用龙湖POS机进行收款~
用不了珑珠券,您使用的时候是否有定位到正确天街呢，定位不正确的话无法使用呢。您可以重新扫码，勾选正确的天街，就可以使用珑珠券了~
在新费用系统中，找到发票后点击确定为什么显示“请至少选择一条数据”？,请找到发票后点击“添加到已选择”或者双击该条发票信息，然后再点确定。
发票能否多次关联使用？,"✔ 在场景化费用系统中：
1、合同付款可在同一个合同下多次关联同一张发票。
2、运营成本付款可多次关联同一张发票（能源报销除外）。
3、日常报销一张发票只能关联一次。
4、其他类型一张发票关联多次需在发票系统维护发票为水电费发票。
✔ 在成本管理平台中：
 1、无合同付款可多次关联同一张发票（付款单位与发票抬头一致）。
 2、合同付款可在同一合同下多次关联同一张发票。"
发票关联条件,"您好，发票关联条件如下：
1、【场景化费用系统2.0】中只有增值税发票需要关联，即票面带有增值税字样的发票均需要关联。当票据为【增值税电子普通发票】时，采用原文件上传采集，可实现该发票无需打印交单（是否交单显示为【否】）~具体采集办法详见【什么是增值税电子发票不交单】
出租车打车票、高铁票、飞机行程单、通用电子发票等非增值税发票无需采集和关联，提流程时在是否有增值税发票处选择否，交单时粘贴好随其他材料一并提交即可。
2、【场景化费用系统3.0】中火车票、机票行程单、出租车票、定额发票、通用电子发票等也需要关联，点击关联发票按键--选择新增其他票据--选择对应的发票类型然后输入金额 ，这样来进行关联
发票如何关联指引发票如何关联"
电脑端如何关联发票？,"您好，电脑端关联发票按如下步骤：
1、付款页面点击关联票据；
2、增值税专用发票直接输入发票号搜索（税务局系统原因，仅能查询前一日开具发票）；
3、增值税普通发票、搜索不到的增值税专用发票请手工新增（可在发票夹采集），新增完成后再关联发票。"
关联发票数量是否有限制？,没有限制，多张发票可批量导入。
手机端如何关联发票？,"2种方式可选择：
1、在云图梭-应用-赋能平台-财务管理-发票夹新增（扫描或手工），报销时选择关联相应发票；
2、在报销页面点击“专/普票”新增关联。"
上个月已手动创建了申报任务，为什么本月没有自动创建待办任务？,系统自动创建待办任务的条件是上月的申报任务已在上月最后一天申报完成且申报参数填写正确。若上个月的申报任务没有完成，申报状态未达到申报完成，则系统无法自动创建本月的待办任务。如上一申报期任务未到申报完成状态就创建了下个申报任务，则上一申报表的数据不会在本月申报任务的期初数据中带出，需手工维护期初数据。
OA首页有待办，但是税金系统无待办？,解决方案：退出账号重新从云图梭跳转税务系统即可。
C1航道增值税计算申报销售额台账房间的取数逻辑。,解决方案：计算申报销售额台账房间取数逻辑是：房间预缴转申报 /申报状态的房间当期有收款/申报状态的房间当期有开票。
流程被退回了，如何操作？,撤回原流程至草稿后修改提交，请勿提交新流程。
付款状态为已拦截怎么办,"如流程支付状态显示已拦截，建议【IT报事】联系对应系统运维协助处理~
方式：
1、电脑端：登录新OA常用应用IT服务管理
 （如果在工作台没有常用应用管理，直接在页面搜索IT服务管理平台即可）
2、手机端：登录龙信工作台点加号IT报事"
已验真的发票是否可以修改?,"您好，在发票夹应用中采集的发票：
a：尚未关联单据，可以操作修改
b：已经关联了单据，需要先取消关联才能修改发票信息
在成本4.0系统中已验证的发票无法修改，如需修改请通过ITSM报事联系运维处理。"
当天开具的发票什么时候能验真通过？,您好，发票开具1个工作日后可验真通过。
哪种情况需要开专票，哪种情况需要开普票？,除招待费、福利费（如安家费、搬家费、异地补贴等）及简易计税项目公司外，原则上均应取得增值税专票。
发票验真不通过怎么办,"您好，针对发票验真所需时间：
1、当日开具的发票，因国家税务平台信息不能同步更新，次日才可以在报销系统中显示验真通过（当日提起验真会提示发票不存在）。
2、如非当日开具的发票，请核实票面信息与系统录入信息是否一致
a：若信息不一致可以进入手机云图梭-应用-发票夹，检查发票信息是否正确（特别是开票日期、校验码），点击【编辑】修改成正确的信息再点击【保存】重新触发验真，然后回到流程中重新关联。
b：若信息一致，可登录【国家税务总局全国增值税发票查验平台】查询票据是否存在，若发票查无此票，需联系对方单位重开发票；若发票真实存在，请IT报事处理。
3、如系统内提示参数不正确、分供方信息无法查验等情况，请IT报事处理。"
发票金额是否可以超过报销金额？,发票金额可以超过报销金额，当超过时，请在票据信息栏，将本次使用金额（含税）（红色字体）处修改为实际报销的金额即可。
发票不存在是什么原因？,"当日开具的发票，因国家税务平台信息不能同步更新，次日才可以在报销系统中显示验真通过
若次日依旧显示发票不存在，请登录【国家税务总局全国增值税发票查验平台】查询票据是否存在，若发票查无此票，需联系对方单位重开发票；若发票真实存在，请【IT报事处理】。"
发票验真二级状态为什么会出现“发票我方单位名称与单据不一致”？,"请确认发票抬头与付款单位是否一致。若已核实不一致，请确认发票抬头开错或付款单位选择错误：
1、若发票抬头开错，请联系供方重新开具，并使用正确发票进行请款；
2、若付款单位选择错误，请重新选择后提交。
若发票抬头与付款单位已核实一致，请【IT报事】咨询系统运维。"
同一张发票，在费用系统（或成本系统）报销了一部分金额，可以在成本系统（或费用系统）报销剩余部分吗？,"有如下2种情况：
1、发票不允许【跨系统】使用，即发票首次使用在【A系统】，即使还有可用金额，也不允许在【非A系统】使用。
例如：发票在成本系统关联使用后，不能再到其他系统关联使用。
2、当发票为水电费发票时，在采集页面打开水电费标志，那么该票可以同时在成本系统和费用系统中使用。"
发票开具失败的原因？,"按如下步骤：
1、如在开票界面提示该信息，请确认是否所有发票均已开出，已无空白发票。或可能空白发票仍保持在报税盘中尚未分发，或仍在税局端尚未领购；
2、如在报税盘分发界面点击查询时提示该信息，即证明不存在未操作数据，报税盘中已无空白发票；
3、如在报税盘回收界面点击查询时提示该信息，即证明不存在未操作数据，报税盘中已无可回收空白发票；
4、开票设备已到开票截止日期，因此无法再继续开票；
5、需确认当月纳税申报工作是否已完成，是否已执行反写监控数据。网上抄报税界面，开票截至日期是否已成功切换到次月。"
发票丢失怎么办,"✔ 普票丢失：
丢失增值税普通发票，应至主管税务机关办理发票挂失/损毁，并提供《发票挂失/损毁报告表》；
入账时需提供发票复印件，加盖对方单位发票专用章。
✔ 专票丢失：
丢失增值税专用发票的发票联，需提供抵扣联复印件代替，即交单时需提交抵扣联+抵扣联复印件；丢失发票联和抵扣联，需提供记账联复印件并加盖销方发票专用章。
因各地区税务局要求不同，地区公司的处理方式也有差异，更详细的处理方式可联系地区公司财务部税政中心。"
停车缴费对接收银台支付流程说明,停车缴费切换组合收银台使用说明.pdf
